Category,Subject,Ability Requirement,Detailed Instruction,Product Line,Product,Level,Training Material,Training Document Name,Link,Notes
Basic Operation,Software,Software programming operation,"Can program LC, BSC, BMS, LCS, BS, PCS, DC/DC, CMU software",BESS,ST2752-UX-UD,L1,,,,FSE
Basic Operation,Software,Software programming operation,"Can program software in the background of LC, BMS, BSC, BS, PCS through Xshell or XFTP tools",BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,Software,Software programming operation,Ability to program DSP software with special tools,BESS,ST2752-UX-UD,L3,,,,FSE
Basic Operation,Data and fault recording,System data and fault recording export operation,Be able to describe the need to collect energy storage system and sub-equipment data and their functions,BESS,ST2752-UX-UD,L1,,,,FSE
Basic Operation,Data and fault recording,System data and fault recording export operation,"Ability to export alarms, faults, events, and running records of LC, BSC, BMS, LCS, BS, PCS, DC/DC, and CMU",BESS,ST2752-UX-UD,L1,,,,FSE
Basic Operation,Data and fault recording,System data and fault recording export operation,Be able to describe data analysis methods for energy storage systems and sub-equipment,BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,Data and fault recording,System data and fault recording export operation,"Can export PCS, DC/DC fault recording",BESS,ST2752-UX-UD,L1,,,,FSE
Basic Operation,Data and fault recording,System data and fault recording export operation,"Ability to analyze PCS, DC/DC fault waveforms, determine fault types and provide troubleshooting methods",BESS,ST2752-UX-UD,L3,,,,FSE
Basic Operation,Data and fault recording,System data and fault recording export operation,"Can preliminarily analyze the alarms, faults, events, and operation records of the system and sub-equipment, and initially locate the fault location",BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,Temperature Control System,HVAC or Liquid Cooled Unit Operation,Be able to describe the working principle of HVAC or liquid cooling unit and master the basic operation of HMI,BESS,ST2752-UX-UD,L1,HVAC LCU Introduction,ST2752UD TECH L1 R01 - HVAC LCU Introduction,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7B97D2F698-A1E3-4944-B853-DF6C6C62C2AB%7D&file=ST2752UD%20HVAC%20LCU%20Introduction.docx&action=default&mobileredirect=true,FSE
