Topic,Detail Requirements,Category,Subject,Knowledge Level,Course Name,Course module,Course Level
Safety operating principles,"Complete ""Product Safety Operation Training"" course on Sunshine E-learning platform, including learning and assessment.",Safe Work Practices,Safety Principles,L1,Using Tools,,Other
Proper use of personal protective pquipment (PPE),Correctly wear hard hat.,Safe Work Practices,Dress safely,L1,Using Tools,,Other
Proper use of personal protective pquipment (PPE),Correctly wear safety glasses/safety goggles.,Safe Work Practices,Dress safely,L1,Using Tools,,Other
Proper use of personal protective pquipment (PPE),Correctly wear high visibility safety vest/belt.,Safe Work Practices,Dress safely,L1,Using Tools,,Other
Proper use of personal protective pquipment (PPE),Correctly wear insulating gloves.,Safe Work Practices,Dress safely,L1,Using Tools,,Other
Proper use of personal protective pquipment (PPE),Correctly wear Arc/FR safety apparel.,Safe Work Practices,Dress safely,L1,Using Tools,,Other
Proper use of personal protective pquipment (PPE),Correctly wear safety shoes (insulating and toe-protective),Safe Work Practices,Dress safely,L1,Using Tools,,Other
Safe de-energization (power off) procedures,Understand function and operation of DC switch/breaker.,Safe Work Practices,Safely De-energize Inverter,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
Safe de-energization (power off) procedures,Understand function and operation of maintenance switches (power supply).,Safe Work Practices,Safely De-energize Inverter,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
Safe de-energization (power off) procedures,Understand function and operation of AC switch/breaker.,Safe Work Practices,Safely De-energize Inverter,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
Safe de-energization (power off) procedures,Understand inverter discharge duration of residual voltage.,Safe Work Practices,Safely De-energize Inverter,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
Safe de-energization (power off) procedures,Understand power-off sequence and perform power-off operations correctly.,Safe Work Practices,Safely De-energize Inverter,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
Safe voltage measurement procedures,Understand AC-side voltage verification location and method.,Safe Work Practices,Safely Measure Inverter voltage,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
